date,securities_code,securities_name,close,open,high,low,trade_volumn
2020-11-16,1593,祺驊,60.10,60.20,60.80,59.90,74
2020-11-16,1595,川寶,29.20,29.05,29.55,29.05,20
2020-11-16,1597,直得,77.50,77.30,77.60,76.70,94
2020-11-16,1599,宏佳騰,32.60,33.00,33.00,32.55,99
2020-11-16,1742,台蠟,21.10,21.45,21.45,21.05,43
2020-11-16,1752,南光,39.30,39.35,39.50,39.05,100
2020-11-16,1777,生泰,75.40,74.70,75.60,74.70,11
2020-11-16,1781,合世,27.65,28.50,28.50,27.10,262
2020-11-16,1784,訊聯,37.10,37.25,37.40,36.90,72
2020-11-16,1785,光洋科,44.90,45.60,45.75,44.70,"3,716"
2020-11-16,1788,杏昌,120.00,120.00,121.00,120.00,84
2020-11-16,1796,金穎生技,25.50,24.25,25.50,24.25,52
2020-11-16,1799,易威,19.40,19.60,19.80,19.25,85
2020-11-16,1813,寶利徠,19.10,19.15,19.15,19.00,35
2020-11-16,1815,富喬,10.05,10.10,10.15,10.05,228
2020-11-16,2035,唐榮,37.75,37.75,37.85,37.75,9
2020-11-16,2061,風青,12.10,12.00,12.10,11.90,41
2020-11-16,2063,世鎧,30.85,30.90,31.00,30.80,12
2020-11-16,2064,晉椿,----,----,----,----,0
2020-11-16,2065,世豐,44.35,44.80,44.80,44.25,106
2020-11-16,2066,世德,53.40,53.20,53.70,52.60,14
2020-11-16,2067,嘉鋼,8.93,8.93,8.93,8.93,1
2020-11-16,2070,精湛,24.00,24.00,24.00,23.80,6
2020-11-16,2221,大甲,23.50,23.60,23.60,23.40,15
2020-11-16,2230,泰茂,14.70,14.45,14.70,14.40,17
2020-11-16,2235,謚源,44.50,44.35,44.50,44.35,7
2020-11-16,2596,綠意,21.30,21.25,21.50,21.25,40
2020-11-16,2640,大車隊,86.30,85.20,86.50,85.20,61
2020-11-16,2641,正德,7.92,8.00,8.08,7.92,304
2020-11-16,2643,捷迅,52.30,52.90,53.00,52.10,61
2020-11-16,2718,晶悅,22.00,22.00,22.00,22.00,2
2020-11-16,2719,燦星旅,8.70,7.90,8.70,7.90,15
2020-11-16,2724,富驛-KY,3.60,3.60,3.65,3.60,8
2020-11-16,2726,雅茗-KY,68.50,67.90,69.20,67.90,165
2020-11-16,2729,瓦城,246.00,247.00,248.00,244.00,96
2020-11-16,2732,六角,127.50,124.50,128.00,124.50,555
2020-11-16,2734,易飛網,11.95,11.60,12.00,11.60,45
2020-11-16,2736,高野,13.60,13.45,13.90,13.45,35
2020-11-16,2740,天蔥,20.80,22.00,22.00,20.80,5
2020-11-16,2743,山富,14.65,14.55,14.70,14.55,6
2020-11-16,2745,五福,16.65,17.35,17.35,16.60,16
2020-11-16,2752,豆府,169.50,170.00,170.00,169.00,33
2020-11-16,2754,亞洲藏壽司,76.20,76.70,77.10,75.90,126
2020-11-16,2916,滿心,16.15,16.20,16.40,16.05,26
2020-11-16,2924,東凌-KY,22.50,22.20,22.50,22.20,4
2020-11-16,2926,誠品生活,79.30,79.70,79.70,79.30,4
2020-11-16,2928,紅馬-KY,28.65,28.80,29.00,28.55,17
2020-11-16,2937,集雅社,33.40,33.00,33.50,32.90,4
2020-11-16,3064,泰偉,34.40,34.40,34.40,34.40,7
2020-11-16,3066,李洲,7.44,7.30,7.48,6.88,14
2020-11-16,3067,全域,31.15,31.40,32.00,30.00,26
2020-11-16,3071,協禧,24.15,23.80,24.45,23.65,"2,641"
2020-11-16,3078,僑威,42.90,43.00,43.35,42.35,"2,287"
2020-11-16,3081,聯亞,277.00,282.50,282.50,275.50,593
2020-11-16,3083,網龍,50.00,51.00,51.20,49.50,354
2020-11-16,3085,新零售,8.77,8.72,8.77,8.72,12
2020-11-16,3086,華義,23.00,23.15,23.15,22.75,13
2020-11-16,3088,艾訊,50.80,51.00,51.00,50.70,56
2020-11-16,3089,元炬,20.20,20.00,20.20,20.00,10
2020-11-16,3092,鴻碩,56.60,58.50,58.80,55.50,"7,750"
2020-11-16,3093,港建,36.10,36.00,36.10,36.00,3
2020-11-16,3095,及成,2.90,2.97,2.97,2.90,20
2020-11-16,3105,穩懋,332.00,322.50,335.00,321.50,"9,559"
2020-11-16,3114,好德,19.10,19.10,19.20,18.95,69
2020-11-16,3115,寶島極,14.35,13.90,14.35,13.90,2
2020-11-16,3118,進階,29.15,29.00,29.20,29.00,8
2020-11-16,3122,笙泉,13.40,13.75,14.25,13.40,393
2020-11-16,3128,昇銳,12.80,12.75,12.80,12.60,57
2020-11-16,3131,弘塑,371.00,374.00,379.50,369.50,548
2020-11-16,3141,晶宏,35.00,35.60,36.25,34.60,"1,586"
2020-11-16,3144,新揚科,30.40,30.95,30.95,30.40,517
2020-11-16,3147,大綜,30.40,31.50,31.50,30.35,45
2020-11-16,3152,璟德,393.00,393.00,406.50,390.50,"1,072"
2020-11-16,3162,精確,----,----,----,----,0
