date,securities_code,securities_name,dividend_year,P/E_ratio,Fiscal_year_quarter
2021-11-05,2888,新光金,4.11,6.40,110/2,
2021-11-05,2889,國票金,6.33,11.29,110/2,
2021-11-05,2890,永豐金,4.95,10.48,110/2,
2021-11-05,2891,中信金,4.53,8.11,110/2,
2021-11-05,2892,第一金,4.35,15.54,110/2,
2021-11-05,2897,王道銀行,2.55,14.25,110/2,
2021-11-05,2901,欣欣,0.71,210.00,110/2,
2021-11-05,2903,遠百,4.98,14.64,110/2,
2021-11-05,2904,匯僑,7.49,13.02,110/2,
2021-11-05,2905,三商,4.33,9.59,110/2,
2021-11-05,2906,高林,1.95,42.64,110/2,
2021-11-05,2908,特力,4.38,13.66,110/2,
2021-11-05,2910,統領,1.47,40.96,110/2,
2021-11-05,2911,麗嬰房,0.00,-,110/2,
2021-11-05,2912,統一超,3.17,33.49,110/3,
2021-11-05,2913,農林,0.00,"2,075.00",110/2,
2021-11-05,2915,潤泰全,4.90,3.90,110/2,
2021-11-05,2923,鼎固-KY,4.44,15.88,110/2,
2021-11-05,2929,淘帝-KY,0.00,-,110/2,
2021-11-05,2936,客思達-KY,0.00,7.33,110/2,
2021-11-05,2939,凱羿-KY,5.85,39.31,110/2,
2021-11-05,3002,歐格,0.85,292.50,110/3,
2021-11-05,3003,健和興,1.25,29.45,110/2,
2021-11-05,3004,豐達科,0.83,-,110/3,
2021-11-05,3005,神基,6.64,7.38,110/2,
2021-11-05,3006,晶豪科,1.38,9.63,110/3,
